id,condtn,int_corr,samerace,match,race_m,race_w,field_cd_m,field_cd_w,undergra_m,undergra_w,imprace_m,imprace_w,imprelig_m,imprelig_w,zipcode_m,zipcode_w,goal_m,goal_w,date_m,date_w,go_out_m,go_out_w,career_c_m,career_c_w,from_c_m,from_c_w,sports_m,sports_w,tvsports_m,tvsports_w,exercise_m,exercise_w,dining_m,dining_w,museums_m,museums_w,art_m,art_w,hiking_m,hiking_w,gaming_m,gaming_w,clubbing_m,clubbing_w,reading_m,reading_w,tv_m,tv_w,theater_m,theater_w,movies_m,movies_w,concerts_m,concerts_w,music_m,music_w,shopping_m,shopping_w,yoga_m,yoga_w,exphappy_m,exphappy_w,attr1_1_m,attr1_1_w,sinc1_1_m,sinc1_1_w,intel1_1_m,intel1_1_w,fun1_1_m,fun1_1_w,amb1_1_m,amb1_1_w,shar1_1_m,shar1_1_w,attr2_1_m,attr2_1_w,sinc2_1_m,sinc2_1_w,intel2_1_m,intel2_1_w,fun2_1_m,fun2_1_w,amb2_1_m,amb2_1_w,shar2_1_m,shar2_1_w,attr3_1_m,attr3_1_w,sinc3_1_m,sinc3_1_w,fun3_1_m,fun3_1_w,intel3_1_m,intel3_1_w,amb3_1_m,amb3_1_w,dec_m,dec_w,attr_m,attr_w,sinc_m,sinc_w,intel_m,intel_w,fun_m,fun_w,amb_m,amb_w,shar_m,shar_w,like_m,like_w,prob_m,prob_w,met_m,met_w
"(11, 1)",1,0.14,0,0,2.0,4.0,8.0,1.0,0,0.0,7.0,2.0,3.0,4.0,0.0,60521.0,1.0,2.0,5.0,7.0,4.0,1.0,2.0,1.0,6.0,49.0,8.0,9.0,7.0,2.0,2.0,8.0,6.0,9.0,7.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,9.0,6.0,2.0,9.0,4.0,1.0,8.0,10.0,7.0,10.0,8.0,9.0,5.0,8.0,1.0,1.0,7.0,3.0,35.0,15.0,20.0,20.0,20.0,20.0,20.0,15.0,0.0,15.0,5.0,15.0,25.0,35.0,5.0,20.0,20.0,15.0,20.0,20.0,25.0,5.0,5.0,5.0,8.0,6.0,9.0,8.0,7.0,8.0,8.0,8.0,5.0,7.0,0,1,6.0,6.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,4.0,6.0,2.0,2.0
"(12, 1)",1,0.54,0,0,2.0,4.0,1.0,1.0,0,0.0,1.0,2.0,1.0,4.0,14850.0,60521.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,65.0,49.0,9.0,9.0,7.0,2.0,9.0,8.0,8.0,9.0,7.0,1.0,6.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,6.0,6.0,6.0,9.0,4.0,1.0,7.0,10.0,7.0,10.0,9.0,9.0,5.0,8.0,5.0,1.0,7.0,3.0,60.0,15.0,0.0,20.0,0.0,20.0,40.0,15.0,0.0,15.0,0.0,15.0,25.0,35.0,15.0,20.0,25.0,15.0,20.0,20.0,15.0,5.0,0.0,5.0,9.0,6.0,9.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,0,1,7.0,7.0,8.0,8.0,10.0,7.0,7.0,8.0,7.0,5.0,5.0,6.0,8.0,7.0,4.0,5.0,2.0,1.0
"(13, 1)",1,0.16,1,1,4.0,4.0,1.0,1.0,0,0.0,3.0,2.0,5.0,4.0,92821.0,60521.0,2.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,197.0,49.0,7.0,9.0,8.0,2.0,2.0,8.0,9.0,9.0,5.0,1.0,6.0,1.0,4.0,5.0,7.0,1.0,7.0,5.0,6.0,6.0,8.0,9.0,10.0,1.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,1.0,1.0,3.0,3.0,19.0,15.0,18.0,20.0,19.0,20.0,18.0,15.0,14.0,15.0,12.0,15.0,20.0,35.0,16.0,20.0,16.0,15.0,18.0,20.0,16.0,5.0,14.0,5.0,4.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,1,1,10.0,5.0,10.0,8.0,10.0,9.0,10.0,8.0,10.0,5.0,10.0,7.0,10.0,7.0,10.0,,1.0,1.0
"(14, 1)",1,0.61,0,1,2.0,4.0,1.0,1.0,0,0.0,1.0,2.0,1.0,4.0,45243.0,60521.0,2.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,53.0,49.0,10.0,9.0,6.0,2.0,8.0,8.0,8.0,9.0,3.0,1.0,3.0,1.0,10.0,5.0,8.0,1.0,8.0,5.0,6.0,6.0,7.0,9.0,3.0,1.0,10.0,10.0,6.0,10.0,8.0,9.0,6.0,8.0,1.0,1.0,8.0,3.0,30.0,15.0,5.0,20.0,15.0,20.0,40.0,15.0,5.0,15.0,5.0,15.0,20.0,35.0,15.0,20.0,20.0,15.0,20.0,20.0,5.0,5.0,20.0,5.0,9.0,6.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,1,1,7.0,7.0,8.0,6.0,9.0,8.0,8.0,7.0,9.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,2.0,2.0
"(15, 1)",1,0.21,0,1,3.0,4.0,1.0,1.0,0,0.0,3.0,2.0,1.0,4.0,33183.0,60521.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,121.0,49.0,9.0,9.0,7.0,2.0,9.0,8.0,7.0,9.0,4.0,1.0,3.0,1.0,6.0,5.0,7.0,1.0,9.0,5.0,8.0,6.0,6.0,9.0,9.0,1.0,9.0,10.0,6.0,10.0,7.0,9.0,2.0,8.0,1.0,1.0,5.0,3.0,30.0,15.0,10.0,20.0,20.0,20.0,10.0,15.0,10.0,15.0,20.0,15.0,20.0,35.0,20.0,20.0,20.0,15.0,20.0,20.0,10.0,5.0,10.0,5.0,7.0,6.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,7.0,1,1,8.0,5.0,7.0,6.0,9.0,7.0,6.0,7.0,9.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,2.0,2.0
"(16, 1)",1,0.25,0,0,2.0,4.0,8.0,1.0,0,0.0,9.0,2.0,2.0,4.0,26900.0,60521.0,1.0,2.0,5.0,7.0,1.0,1.0,7.0,1.0,124.0,49.0,7.0,9.0,2.0,2.0,6.0,8.0,7.0,9.0,7.0,1.0,7.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,8.0,6.0,3.0,9.0,7.0,1.0,8.0,10.0,7.0,10.0,8.0,9.0,6.0,8.0,1.0,1.0,7.0,3.0,50.0,15.0,0.0,20.0,30.0,20.0,10.0,15.0,0.0,15.0,10.0,15.0,50.0,35.0,5.0,20.0,30.0,15.0,5.0,20.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,1,0,7.0,4.0,7.0,9.0,8.0,7.0,8.0,4.0,7.0,6.0,7.0,4.0,7.0,6.0,6.0,5.0,2.0,2.0
"(17, 1)",1,0.34,0,0,2.0,4.0,13.0,1.0,0,0.0,1.0,2.0,1.0,4.0,30677.0,60521.0,3.0,2.0,3.0,7.0,2.0,1.0,2.0,1.0,73.0,49.0,8.0,9.0,2.0,2.0,9.0,8.0,7.0,9.0,7.0,1.0,5.0,1.0,4.0,5.0,2.0,1.0,6.0,5.0,4.0,6.0,2.0,9.0,7.0,1.0,9.0,10.0,7.0,10.0,7.0,9.0,2.0,8.0,2.0,1.0,4.0,3.0,35.0,15.0,15.0,20.0,25.0,20.0,10.0,15.0,5.0,15.0,10.0,15.0,25.0,35.0,20.0,20.0,20.0,15.0,20.0,20.0,10.0,5.0,5.0,5.0,7.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,4.0,7.0,0,1,3.0,7.0,6.0,6.0,7.0,7.0,5.0,4.0,8.0,6.0,7.0,7.0,2.0,6.0,1.0,5.0,2.0,2.0
"(18, 1)",1,0.5,0,0,2.0,4.0,8.0,1.0,0,0.0,8.0,2.0,8.0,4.0,10028.0,60521.0,1.0,2.0,6.0,7.0,1.0,1.0,7.0,1.0,143.0,49.0,5.0,9.0,5.0,2.0,5.0,8.0,9.0,9.0,4.0,1.0,3.0,1.0,4.0,5.0,4.0,1.0,2.0,5.0,6.0,6.0,9.0,9.0,3.0,1.0,9.0,10.0,3.0,10.0,6.0,9.0,2.0,8.0,1.0,1.0,5.0,3.0,33.33,15.0,11.11,20.0,11.11,20.0,11.11,15.0,11.11,15.0,22.22,15.0,10.0,35.0,10.0,20.0,20.0,15.0,25.0,20.0,25.0,5.0,10.0,5.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,9.0,7.0,0,0,6.0,4.0,7.0,9.0,5.0,7.0,6.0,6.0,8.0,5.0,6.0,6.0,7.0,6.0,5.0,7.0,2.0,
"(19, 1)",1,0.28,0,1,2.0,4.0,8.0,1.0,0,0.0,1.0,2.0,1.0,4.0,2467.0,60521.0,4.0,2.0,1.0,7.0,1.0,1.0,7.0,1.0,245.0,49.0,10.0,9.0,10.0,2.0,10.0,8.0,10.0,9.0,5.0,1.0,5.0,1.0,6.0,5.0,7.0,1.0,9.0,5.0,8.0,6.0,1.0,9.0,1.0,1.0,7.0,10.0,7.0,10.0,7.0,9.0,7.0,8.0,10.0,1.0,10.0,3.0,50.0,15.0,0.0,20.0,25.0,20.0,10.0,15.0,0.0,15.0,15.0,15.0,40.0,35.0,15.0,20.0,20.0,15.0,10.0,20.0,10.0,5.0,5.0,5.0,10.0,6.0,6.0,8.0,10.0,8.0,10.0,8.0,10.0,7.0,1,1,7.0,7.0,7.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,6.5,7.0,8.0,7.0,2.0,2.0
"(20, 1)",1,-0.36,0,0,2.0,4.0,8.0,1.0,0,0.0,1.0,2.0,1.0,4.0,3031.0,60521.0,1.0,2.0,1.0,7.0,1.0,1.0,7.0,1.0,229.0,49.0,10.0,9.0,10.0,2.0,10.0,8.0,10.0,9.0,9.0,1.0,9.0,1.0,4.0,5.0,10.0,1.0,10.0,5.0,8.0,6.0,3.0,9.0,8.0,1.0,8.0,10.0,6.0,10.0,6.0,9.0,5.0,8.0,10.0,1.0,6.0,3.0,100.0,15.0,0.0,20.0,0.0,20.0,0.0,15.0,0.0,15.0,0.0,15.0,50.0,35.0,10.0,20.0,10.0,15.0,10.0,20.0,10.0,5.0,10.0,5.0,7.0,6.0,7.0,8.0,10.0,8.0,10.0,8.0,10.0,7.0,0,1,6.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,6.0,6.0,6.0,2.0,2.0
